year;country;geo;category_key;category_label;product;prod_code;price_eur_tonne;avg_temp_c
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Peaches: all varieties - prices per 100 kg;6130000;115,4;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Plums: all varieties  - prices per 100 kg;6192000;103,8;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Raspberries - prices per 100 kg;6199200;948,1;11,906833333333331
2000;Bulgaria;BG;orchards;Orchards/Vineyards (perennial);Strawberries: all types of production - prices per 100 kg;6193000;439,6;11,906833333333331
2000;Bulgaria;BG;rowCrops;Row crops;Main crop potatoes - prices per 100 kg;5120000;178,4;11,906833333333331
2000;Bulgaria;BG;rowCrops;Row crops;Sugar beet: unit value - prices per 1000 kg;2400000;25,49;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Carrots: all qualities - prices per 100 kg;4195000;135,9;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Cucumbers in the open: all qualities - prices per 100 kg;4194100;261,4;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Cucumbers under glass: all qualities - prices per 100 kg;4194200;443,5;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Cultivated mushrooms: all qualities - prices per 100 kg;4199901;908,8;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Garlic - prices per 100 kg;4199906;528,3;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Green beans - prices per 100 kg;4197000;202,4;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Green peas: all qualities - prices per 100 kg;4199000;137,5;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Onions: all qualities - prices per 100 kg;4196000;227,6;11,906833333333331
2000;Bulgaria;BG;vegetables;Vegetables (fresh market/transplant);Tomatoes in the open: all qualities - prices per 100 kg;4121000;58,7;11,906833333333331
