year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne
2000,Poland,PL,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,704.7
2000,Poland,PL,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,114.2
2000,Poland,PL,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,822.3000000000001
2000,Portugal,PT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,791.5999999999999
2000,Portugal,PT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,1995.2
2000,Portugal,PT,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,2000.0
2000,Portugal,PT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,186.70000000000002
2000,Portugal,PT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,3098.8
2000,Romania,RO,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,456.70000000000005
2000,Romania,RO,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3107.7
2000,Romania,RO,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1299.9
2000,Romania,RO,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,344.0
2000,Romania,RO,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,873.1
2000,Sweden,SE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,171.20000000000002
2000,Sweden,SE,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,1661.6
2000,Sweden,SE,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,178.4
2000,Sweden,SE,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1333.3000000000002
2000,Slovenia,SI,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,400.09999999999997
2000,Slovenia,SI,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3150.2999999999997
2000,Slovenia,SI,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1784.7
2000,Slovenia,SI,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,131.3
2000,Slovenia,SI,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,1542.1000000000001
2000,Slovakia,SK,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,301.6
2000,Slovakia,SK,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,2821.0
2000,Slovakia,SK,orchards,Orchards/Vineyards (perennial),Blackcurrants - prices per 100 kg,06199300,706.5
2000,Slovakia,SK,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,200.7
2000,Slovakia,SK,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,939.4
2000,United Kingdom,UK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,190.6
2000,United Kingdom,UK,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,6334.9
2000,United Kingdom,UK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,11009.400000000001
2000,United Kingdom,UK,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,390.20000000000005
2000,United Kingdom,UK,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,6424.299999999999
2001,Austria,AT,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,322.70000000000005
2001,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4551.5
2001,Austria,AT,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,06199100,1770.3
2001,Austria,AT,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,200.6
2001,Austria,AT,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,5886.5
2001,Belgium,BE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,196.20000000000002
2001,Belgium,BE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3388.2
2001,Belgium,BE,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1940.0
2001,Belgium,BE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,411.3
2001,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Capsicum (under glass) - prices per 100 kg,04199904,1370.0
2001,Bulgaria,BG,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,256.6
2001,Bulgaria,BG,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,8843.300000000001
2001,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,488.5
2001,Bulgaria,BG,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,121.7
2001,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,898.3
2001,Czechia,CZ,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,396.59999999999997
2001,Czechia,CZ,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3904.2000000000003
2001,Czechia,CZ,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,963.7
2001,Czechia,CZ,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,204.0
2001,Czechia,CZ,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1383.5
2001,Germany,DE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,207.2
2001,Germany,DE,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,2107.0
2001,Germany,DE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,132.89999999999998
2001,Germany,DE,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,5474.2
2001,Denmark,DK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,220.79999999999998
2001,Denmark,DK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,7520.0
2001,Denmark,DK,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,216.0
2001,Denmark,DK,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,3132.0
2001,Estonia,EE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,246.6
2001,Greece,EL,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,641.2
2001,Greece,EL,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1232.6000000000001
2001,Greece,EL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1231.1
2001,Greece,EL,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,465.90000000000003
2001,Greece,EL,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,1963.0
2001,Spain,ES,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,454.7
2001,Spain,ES,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3223.1
2001,Spain,ES,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,3005.1
2001,Spain,ES,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,461.4
2001,Spain,ES,vegetables,Vegetables (fresh market/transplant),Green peas: all qualities - prices per 100 kg,04199000,1797.0
2001,Finland,FI,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,209.4
2001,Finland,FI,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,1714.0
2001,Finland,FI,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,614.7
2001,Finland,FI,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1177.7
2001,France,FR,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1218.5
2001,France,FR,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,923.1
2001,France,FR,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,3395.7
2001,France,FR,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,243.29999999999998
2001,France,FR,vegetables,Vegetables (fresh market/transplant),Capsicum (under glass) - prices per 100 kg,04199904,927.3000000000001
2001,Hungary,HU,arable,Arable (cereals/oilseeds),Soya - prices per 100 kg,02130000,233.79999999999998
2001,Hungary,HU,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1258.0
2001,Hungary,HU,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1152.9
2001,Hungary,HU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,131.5
2001,Hungary,HU,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,1267.6000000000001
2001,Ireland,IE,arable,Arable (cereals/oilseeds),Soft wheat - prices per 100 kg,01110000,116.6
2001,Ireland,IE,rowCrops,Row crops,Sugar beet: unit value - prices per 1000 kg,02400000,54.71
2001,Ireland,IE,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2246.6
2001,Italy,IT,arable,Arable (cereals/oilseeds),Oats - prices per 100 kg,01400000,196.4
2001,Italy,IT,orchards,Orchards/Vineyards (perennial),Dessert apples: all varieties - prices per 100 kg,06110000,333.9
2001,Italy,IT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,289.20000000000005
2001,Italy,IT,vegetables,Vegetables (fresh market/transplant),Tomatoes in the open: all qualities - prices per 100 kg,04121000,466.70000000000005
2001,Lithuania,LT,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,193.1
2001,Lithuania,LT,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1225.6999999999998
2001,Lithuania,LT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,120.60000000000001
2001,Lithuania,LT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1399.1
2001,Luxembourg,LU,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,958.0
2001,Luxembourg,LU,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,3470.0
2001,Luxembourg,LU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,231.29999999999998
2001,Luxembourg,LU,vegetables,Vegetables (fresh market/transplant),Leeks in the open - prices per 100 kg,04199903,1980.0
2001,Latvia,LV,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,210.0
2001,Latvia,LV,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1105.3
2001,Latvia,LV,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,142.10000000000002
2001,Latvia,LV,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1626.1000000000001
2001,Malta,MT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1104.3000000000002
2001,Malta,MT,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2770.2999999999997
2001,Malta,MT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,394.0
2001,Malta,MT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,3441.1000000000004
2001,Netherlands,NL,arable,Arable (cereals/oilseeds),Malting barley - prices per 100 kg,01320000,122.5
